Type        rw(ft)    k(md)    re(ft)    h(feet)       Sigma(bbl/day-psi)
Injector	0.25	74.16	108.5	6	0.4716
Injector	0.25	74.16	119.4	5	0.387
Injector	0.25	74.16	92.69	10	0.807
Injector	0.25	96.41	125.6	15	1.497
Injector	0.25	96.41	97.25	13	1.353
Injector	0.25	70.45	58.83	14	1.163
Producer	0.25	74.16	77.84	10	0.8316
Injector	0.25	85.29	87.98	5	0.4682
Producer	0.25	100.1	74.9	15	1.695
Producer	0.25	103.8	116.6	15	1.631
Producer	0.25	105.3	81.29	10	1.172
Producer	0.25	74.16	106.7	13	1.025
Producer	0.25	100.1	114.3	10	1.052
Producer	0.25	74.16	82.66	14	1.152
Producer	0.25	81.58	93.26	5	0.4434
Producer	0.25	74.16	82.66	5	0.4115
Producer	0.25	37.08	87.74	4	0.1629
Injector	0.25	85.29	94.91	5	0.4622
Producer	0.25	37.08	116.6	3	0.1165
Injector	0.25	85.29	102	5	0.4567
Producer	0.2518.54	74.72	4	0.08376
